gene_id,gene_symbol,id_type
ENSRNOG00000065394,,ensembl
ENSRNOG00000065356,,ensembl
Vom2r3,Vom2r3,symbol
LOC103693496,LOC103693496,symbol
Vom2r4,Vom2r4,symbol
LOC102556157,LOC102556157,symbol
Vmn2r116l-ps25,Vmn2r116l-ps25,symbol
ENSRNOG00000063562,LOC134484936,ensembl
LOC102548633,LOC102548633,symbol
ENSRNOG00000069170,,ensembl
LOC103690914,LOC103690914,symbol
Zfp748-ps3,Zfp748-ps3,symbol
LOC102556098,LOC102556098,symbol
ENSRNOG00000066157,,ensembl
Vom2r1,Vom2r1,symbol
LOC102548076,LOC102548076,symbol
Vmn2r116l-ps24,Vmn2r116l-ps24,symbol
Vom2r6,Vom2r6,symbol
ENSRNOG00000067737,,ensembl
AABR07000137.1,AABR07000137.1,symbol
LOC120100385,LOC120100385,symbol
ENSRNOG00000069337,,ensembl
ENSRNOG00000067237,,ensembl
ENSRNOG00000069837,,ensembl
Rrlt,Rrlt,symbol
LOC120100384,LOC120100384,symbol
LOC120098765,LOC120098765,symbol
AABR07000158.1,AABR07000158.1,symbol
ENSRNOG00000063801,LOC120097698,ensembl
ENSRNOG00000068014,,ensembl
ENSRNOG00000063062,,ensembl
LOC100913013,LOC100913013,symbol
Raet1e,Raet1e,symbol
LOC120100382,LOC120100382,symbol
ENSRNOG00000070971,,ensembl
ENSRNOG00000066949,,ensembl
LOC120098769,LOC120098769,symbol
Raet1l,Raet1l,symbol
ENSRNOG00000066542,Raet1d,ensembl
LOC100910848,LOC100910848,symbol
AABR07000159.4,AABR07000159.4,symbol
ENSRNOG00000064137,,ensembl
ENSRNOG00000067619,,ensembl
Lrp11,Lrp11,symbol
Pcmt1,Pcmt1,symbol
Nup43,Nup43,symbol
Lats1,Lats1,symbol
Katna1,Katna1,symbol
ENSRNOG00000064500,,ensembl
Ginm1,Ginm1,symbol
ENSRNOG00000069476,,ensembl
Ppil4,Ppil4,symbol
Zc3h12d,Zc3h12d,symbol
Tab2,Tab2,symbol
ENSRNOG00000063227,,ensembl
Ust,Ust,symbol
ENSRNOG00000067828,,ensembl
Rnu6-884,Rnu6-884,symbol
ENSRNOG00000067907,,ensembl
Sash1,Sash1,symbol
LOC120100357,LOC120100357,symbol
Samd5,Samd5,symbol
AABR07022046.1,AABR07022046.1,symbol
Stxbp5,Stxbp5,symbol
LOC120100355,LOC120100355,symbol
Adgb,Adgb,symbol
ENSRNOG00000068837,,ensembl
Rab32,Rab32,symbol
LOC120100440,LOC120100440,symbol
Grm1,Grm1,symbol
AABR07000222.1,AABR07000222.1,symbol
Shprh,Shprh,symbol
Fbxo30,Fbxo30,symbol
LOC120100342,LOC120100342,symbol
Epm2a,Epm2a,symbol
LOC120100424,LOC120100424,symbol
LOC120100351,LOC120100351,symbol
ENSRNOG00000063176,,ensembl
ENSRNOG00000068373,,ensembl
Utrn,Utrn,symbol
ENSRNOG00000064437,,ensembl
ENSRNOG00000066763,,ensembl
Stx11,Stx11,symbol
LOC120100405,LOC120100405,symbol
Sf3b5,Sf3b5,symbol
ENSRNOG00000068567,,ensembl
ENSRNOG00000068605,,ensembl
ENSRNOG00000070965,,ensembl
Plagl1,Plagl1,symbol
Zc2hc1b,Zc2hc1b,symbol
Ltv1,Ltv1,symbol
Phactr2,Phactr2,symbol
Fuca2,Fuca2,symbol
Pex3,Pex3,symbol
Adat2,Adat2,symbol
ENSRNOG00000067930,,ensembl
AABR07000276.1,AABR07000276.1,symbol
Aig1,Aig1,symbol
Hivep2,Hivep2,symbol
LOC100912436,LOC100912436,symbol
Adgrg6,Adgrg6,symbol
Vta1,Vta1,symbol
Gje1,Gje1,symbol
Nmbr,Nmbr,symbol
LOC120100430,LOC120100430,symbol
LOC120100212,LOC120100212,symbol
LOC120100214,LOC120100214,symbol
Cited2,Cited2,symbol
AC128394.1,AC128394.1,symbol
Txlnb,Txlnb,symbol
LOC120098792,LOC120098792,symbol
Heca,Heca,symbol
Abracl,Abracl,symbol
Reps1,Reps1,symbol
Ect2l,Ect2l,symbol
Ccdc28a,Ccdc28a,symbol
ENSRNOG00000069628,,ensembl
ENSRNOG00000066104,,ensembl
Nhsl1,Nhsl1,symbol
LOC120100161,LOC120100161,symbol
Hebp2,Hebp2,symbol
Arfgef3,Arfgef3,symbol
RGD1560303,RGD1560303,symbol
Perp,Perp,symbol
Tnfaip3,Tnfaip3,symbol
Olig3,Olig3,symbol
ENSRNOG00000064148,,ensembl
Ifngr1,Ifngr1,symbol
Il22ra2,Il22ra2,symbol
Il20ra,Il20ra,symbol
Slc35d3,Slc35d3,symbol
Pex7,Pex7,symbol
RGD1562402,RGD1562402,symbol
ENSRNOG00000069359,,ensembl
Map3k5,Map3k5,symbol
LOC120100374,LOC120100374,symbol
Map7,Map7,symbol
ENSRNOG00000068973,,ensembl
LOC120100154,LOC120100154,symbol
Mtfr2,Mtfr2,symbol
Pde7b,Pde7b,symbol
LOC120100369,LOC120100369,symbol
Ahi1,Ahi1,symbol
Myb,Myb,symbol
ENSRNOG00000066961,,ensembl
Hbs1l,Hbs1l,symbol
Aldh8a1,Aldh8a1,symbol
LOC120100169,LOC120100169,symbol
Themis,Themis,symbol
ENSRNOG00000062873,,ensembl
AABR07000544.1,AABR07000544.1,symbol
ENSRNOG00000065259,,ensembl
ENSRNOG00000066571,,ensembl
ENSRNOG00000069106,,ensembl
Ptprk,Ptprk,symbol
ENSRNOG00000069014,,ensembl
Lama2,Lama2,symbol
AABR07000583.1,AABR07000583.1,symbol
LOC120100129,LOC120100129,symbol
LOC120100143,LOC120100143,symbol
Arhgap18,Arhgap18,symbol
LOC120097699,LOC120097699,symbol
AABR07004232.1,AABR07004232.1,symbol
L3mbtl3,L3mbtl3,symbol
Samd3,Samd3,symbol
LOC100360791,LOC100360791,symbol
Tmem200a,Tmem200a,symbol
Rnu11-3,Rnu11-3,symbol
Hmgb2-ps6,Hmgb2-ps6,symbol
ENSRNOG00000067501,,ensembl
Epb41l2,Epb41l2,symbol
Akap7,Akap7,symbol
Ccnb2-ps2,Ccnb2-ps2,symbol
LOC120100438,LOC120100438,symbol
ENSRNOG00000068539,,ensembl
ENSRNOG00000068720,,ensembl
ENSRNOG00000069402,,ensembl
LOC120100398,LOC120100398,symbol
Arg1,Arg1,symbol
Med23,Med23,symbol
Enpp3,Enpp3,symbol
Enpp1,Enpp1,symbol
Ccn2,Ccn2,symbol
ENSRNOG00000065123,,ensembl
LOC102553526,LOC102553526,symbol
LOC102553457,LOC102553457,symbol
Moxd1,Moxd1,symbol
Stx7,Stx7,symbol
LOC108349187,LOC108349187,symbol
ENSRNOG00000067817,,ensembl
LOC108349831,LOC108349831,symbol
Taar9,Taar9,symbol
Taar8c,Taar8c,symbol
Taar8a,Taar8a,symbol
ENSRNOG00000067484,,ensembl
ENSRNOG00000069350,,ensembl
Taar7h,Taar7h,symbol
Taar7e,Taar7e,symbol
Taar7d,Taar7d,symbol
Taar7c,Taar7c,symbol
Taar7b,Taar7b,symbol
Taar7a,Taar7a,symbol
Taar6,Taar6,symbol
Taar5,Taar5,symbol
Taar4,Taar4,symbol
Taar3,Taar3,symbol
ENSRNOG00000063281,,ensembl
Taar2,Taar2,symbol
Taar1,Taar1,symbol
Vnn1,Vnn1,symbol
Vnn3,Vnn3,symbol
Slc18b1,Slc18b1,symbol
ENSRNOG00000068836,,ensembl
Rps12,Rps12,symbol
LOC120100344,LOC120100344,symbol
Snord100,Snord100,symbol
Snora33,Snora33,symbol
Eya4,Eya4,symbol
Tcf21,Tcf21,symbol
Tbpl1,Tbpl1,symbol
Tbpl1,Tbpl1,symbol
Slc2a12,Slc2a12,symbol
