gsm,library_id,title,species,strain,tissue,age_months,age_group,sex
GSM9418941,1569233,male_retina_27 months_1569233,Rattus norvegicus,Sprague Dawley,retina,27.0,27 months,male
GSM9418942,1569284,male_retina_27 months_1569284,Rattus norvegicus,Sprague Dawley,retina,27.0,27 months,male
GSM9418943,1569389,male_retina_18 months_1569389,Rattus norvegicus,Sprague Dawley,retina,18.0,18 months,male
GSM9418944,1569391,male_retina_18 months_1569391,Rattus norvegicus,Sprague Dawley,retina,18.0,18 months,male
GSM9418945,1569459,male_retina_18 months_1569459,Rattus norvegicus,Sprague Dawley,retina,18.0,18 months,male
GSM9418946,1569460,male_retina_18 months_1569460,Rattus norvegicus,Sprague Dawley,retina,18.0,18 months,male
GSM9418947,1569461,male_retina_18 months_1569461,Rattus norvegicus,Sprague Dawley,retina,18.0,18 months,male
GSM9418948,1569462,male_retina_18 months_1569462,Rattus norvegicus,Sprague Dawley,retina,18.0,18 months,male
GSM9418949,1569468,male_retina_18 months_1569468,Rattus norvegicus,Sprague Dawley,retina,18.0,18 months,male
GSM9418950,1569469,male_retina_18 months_1569469,Rattus norvegicus,Sprague Dawley,retina,18.0,18 months,male
GSM9418951,1569470,male_retina_18 months_1569470,Rattus norvegicus,Sprague Dawley,retina,18.0,18 months,male
GSM9418952,1569471,male_retina_18 months_1569471,Rattus norvegicus,Sprague Dawley,retina,18.0,18 months,male
GSM9418953,1569472,male_retina_18 months_1569472,Rattus norvegicus,Sprague Dawley,retina,18.0,18 months,male
GSM9418954,1569473,male_retina_18 months_1569473,Rattus norvegicus,Sprague Dawley,retina,18.0,18 months,male
GSM9418955,1569474,male_retina_27 months_1569474,Rattus norvegicus,Sprague Dawley,retina,27.0,27 months,male
GSM9418956,1569475,male_retina_27 months_1569475,Rattus norvegicus,Sprague Dawley,retina,27.0,27 months,male
GSM9418957,1569476,male_retina_27 months_1569476,Rattus norvegicus,Sprague Dawley,retina,27.0,27 months,male
GSM9418958,1569477,male_retina_27 months_1569477,Rattus norvegicus,Sprague Dawley,retina,27.0,27 months,male
GSM9418959,1569478,male_retina_27 months_1569478,Rattus norvegicus,Sprague Dawley,retina,27.0,27 months,male
GSM9418960,1569479,male_retina_27 months_1569479,Rattus norvegicus,Sprague Dawley,retina,27.0,27 months,male
GSM9418961,1569480,male_retina_27 months_1569480,Rattus norvegicus,Sprague Dawley,retina,27.0,27 months,male
GSM9418962,1569481,male_retina_27 months_1569481,Rattus norvegicus,Sprague Dawley,retina,27.0,27 months,male
GSM9418963,1569498,male_retina_27 months_1569498,Rattus norvegicus,Sprague Dawley,retina,27.0,27 months,male
GSM9418964,1569499,male_retina_27 months_1569499,Rattus norvegicus,Sprague Dawley,retina,27.0,27 months,male
GSM9418965,1569500,male_retina_9 months_1569500,Rattus norvegicus,Sprague Dawley,retina,9.0,9 months,male
GSM9418966,1569501,male_retina_9 months_1569501,Rattus norvegicus,Sprague Dawley,retina,9.0,9 months,male
GSM9418967,1569502,male_retina_9 months_1569502,Rattus norvegicus,Sprague Dawley,retina,9.0,9 months,male
GSM9418968,1569503,male_retina_9 months_1569503,Rattus norvegicus,Sprague Dawley,retina,9.0,9 months,male
GSM9418969,1569504,male_retina_9 months_1569504,Rattus norvegicus,Sprague Dawley,retina,9.0,9 months,male
GSM9418970,1569505,male_retina_9 months_1569505,Rattus norvegicus,Sprague Dawley,retina,9.0,9 months,male
GSM9418971,1569506,male_retina_9 months_1569506,Rattus norvegicus,Sprague Dawley,retina,9.0,9 months,male
GSM9418972,1569507,male_retina_9 months_1569507,Rattus norvegicus,Sprague Dawley,retina,9.0,9 months,male
GSM9418973,1569508,male_retina_9 months_1569508,Rattus norvegicus,Sprague Dawley,retina,9.0,9 months,male
GSM9418974,1569509,male_retina_9 months_1569509,Rattus norvegicus,Sprague Dawley,retina,9.0,9 months,male
GSM9418975,1569510,male_retina_9 months_1569510,Rattus norvegicus,Sprague Dawley,retina,9.0,9 months,male
GSM9418976,1569511,male_retina_9 months_1569511,Rattus norvegicus,Sprague Dawley,retina,9.0,9 months,male
GSM9418977,1569512,male_retina_24 months_1569512,Rattus norvegicus,Sprague Dawley,retina,24.0,24 months,male
GSM9418978,1569513,male_retina_24 months_1569513,Rattus norvegicus,Sprague Dawley,retina,24.0,24 months,male
GSM9418979,1569514,male_retina_24 months_1569514,Rattus norvegicus,Sprague Dawley,retina,24.0,24 months,male
GSM9418980,1569515,male_retina_24 months_1569515,Rattus norvegicus,Sprague Dawley,retina,24.0,24 months,male
GSM9418981,1569516,male_retina_24 months_1569516,Rattus norvegicus,Sprague Dawley,retina,24.0,24 months,male
GSM9418982,1569517,male_retina_24 months_1569517,Rattus norvegicus,Sprague Dawley,retina,24.0,24 months,male
GSM9418983,1569518,male_retina_24 months_1569518,Rattus norvegicus,Sprague Dawley,retina,24.0,24 months,male
GSM9418984,1569519,male_retina_24 months_1569519,Rattus norvegicus,Sprague Dawley,retina,24.0,24 months,male
GSM9418985,1569520,male_retina_24 months_1569520,Rattus norvegicus,Sprague Dawley,retina,24.0,24 months,male
GSM9418986,1569521,male_retina_24 months_1569521,Rattus norvegicus,Sprague Dawley,retina,24.0,24 months,male
GSM9418987,1569522,male_retina_24 months_1569522,Rattus norvegicus,Sprague Dawley,retina,24.0,24 months,male
GSM9418988,1569523,male_retina_24 months_1569523,Rattus norvegicus,Sprague Dawley,retina,24.0,24 months,male
GSM9418989,1569524,male_retina_21 months_1569524,Rattus norvegicus,Sprague Dawley,retina,21.0,21 months,male
GSM9418990,1569525,male_retina_21 months_1569525,Rattus norvegicus,Sprague Dawley,retina,21.0,21 months,male
GSM9418991,1569526,male_retina_21 months_1569526,Rattus norvegicus,Sprague Dawley,retina,21.0,21 months,male
GSM9418992,1569527,male_retina_21 months_1569527,Rattus norvegicus,Sprague Dawley,retina,21.0,21 months,male
GSM9418993,1569528,male_retina_21 months_1569528,Rattus norvegicus,Sprague Dawley,retina,21.0,21 months,male
GSM9418994,1569529,male_retina_21 months_1569529,Rattus norvegicus,Sprague Dawley,retina,21.0,21 months,male
GSM9418995,1569530,male_retina_21 months_1569530,Rattus norvegicus,Sprague Dawley,retina,21.0,21 months,male
GSM9418996,1569531,male_retina_21 months_1569531,Rattus norvegicus,Sprague Dawley,retina,21.0,21 months,male
GSM9418997,1569532,male_retina_21 months_1569532,Rattus norvegicus,Sprague Dawley,retina,21.0,21 months,male
GSM9418998,1569533,male_retina_21 months_1569533,Rattus norvegicus,Sprague Dawley,retina,21.0,21 months,male
GSM9418999,1569534,male_retina_21 months_1569534,Rattus norvegicus,Sprague Dawley,retina,21.0,21 months,male
GSM9419000,1569535,male_retina_21 months_1569535,Rattus norvegicus,Sprague Dawley,retina,21.0,21 months,male
GSM9419001,1569536,male_retina_6 months_1569536,Rattus norvegicus,Sprague Dawley,retina,6.0,6 months,male
GSM9419002,1569537,male_retina_6 months_1569537,Rattus norvegicus,Sprague Dawley,retina,6.0,6 months,male
GSM9419003,1569538,male_retina_6 months_1569538,Rattus norvegicus,Sprague Dawley,retina,6.0,6 months,male
GSM9419004,1569539,male_retina_6 months_1569539,Rattus norvegicus,Sprague Dawley,retina,6.0,6 months,male
GSM9419005,1569540,male_retina_6 months_1569540,Rattus norvegicus,Sprague Dawley,retina,6.0,6 months,male
GSM9419006,1569541,male_retina_6 months_1569541,Rattus norvegicus,Sprague Dawley,retina,6.0,6 months,male
GSM9419007,1569542,male_retina_6 months_1569542,Rattus norvegicus,Sprague Dawley,retina,6.0,6 months,male
GSM9419008,1569543,male_retina_6 months_1569543,Rattus norvegicus,Sprague Dawley,retina,6.0,6 months,male
GSM9419009,1569544,male_retina_6 months_1569544,Rattus norvegicus,Sprague Dawley,retina,6.0,6 months,male
GSM9419010,1569545,male_retina_6 months_1569545,Rattus norvegicus,Sprague Dawley,retina,6.0,6 months,male
GSM9419011,1569546,male_retina_6 months_1569546,Rattus norvegicus,Sprague Dawley,retina,6.0,6 months,male
GSM9419012,1569547,male_retina_6 months_1569547,Rattus norvegicus,Sprague Dawley,retina,6.0,6 months,male
GSM9419013,1569548,male_retina_12 months_1569548,Rattus norvegicus,Sprague Dawley,retina,12.0,12 months,male
GSM9419014,1569549,male_retina_12 months_1569549,Rattus norvegicus,Sprague Dawley,retina,12.0,12 months,male
GSM9419015,1569550,male_retina_12 months_1569550,Rattus norvegicus,Sprague Dawley,retina,12.0,12 months,male
GSM9419016,1569551,male_retina_12 months_1569551,Rattus norvegicus,Sprague Dawley,retina,12.0,12 months,male
GSM9419017,1569552,male_retina_12 months_1569552,Rattus norvegicus,Sprague Dawley,retina,12.0,12 months,male
GSM9419018,1569553,male_retina_12 months_1569553,Rattus norvegicus,Sprague Dawley,retina,12.0,12 months,male
GSM9419019,1569554,male_retina_12 months_1569554,Rattus norvegicus,Sprague Dawley,retina,12.0,12 months,male
GSM9419020,1569555,male_retina_12 months_1569555,Rattus norvegicus,Sprague Dawley,retina,12.0,12 months,male
GSM9419021,1569556,male_retina_21 months_1569556,Rattus norvegicus,Sprague Dawley,retina,21.0,21 months,male
GSM9419022,1569557,male_retina_12 months_1569557,Rattus norvegicus,Sprague Dawley,retina,12.0,12 months,male
GSM9419023,1569558,male_retina_12 months_1569558,Rattus norvegicus,Sprague Dawley,retina,12.0,12 months,male
GSM9419024,1569559,male_retina_12 months_1569559,Rattus norvegicus,Sprague Dawley,retina,12.0,12 months,male
GSM9419026,1569561,male_retina_12 months_1569561,Rattus norvegicus,Sprague Dawley,retina,12.0,12 months,male
