,age_months,SenMayo,Fridman_up,Fridman_dn_neg,Inflammatory,Clock,consensus_rank
GSM9418941,27.0,-0.14422750315485777,-0.5556328001735115,0.5816285433307299,-0.1658721111033741,23.584369077279657,44.4
GSM9418942,27.0,0.09790311268085734,-0.19603100628694292,0.7609429913567975,0.16845134367208672,26.707122225162962,59.6
GSM9418943,18.0,0.2469261977409252,0.12294510748788151,-0.3590666859295684,0.369124996350256,17.744743433708244,51.6
GSM9418944,18.0,-0.024207553371033197,-0.08681155647640283,0.15799995020210658,-0.029147693520606626,19.497635335883235,46.0
GSM9418945,18.0,-0.5428598497943429,-0.7898635686390868,1.207587945667135,-0.4226858657967355,18.942398299729177,26.2
GSM9418946,18.0,-0.3523104073516942,-0.6623632667114947,0.5107922270895641,-0.1629134040809931,20.152974514639975,33.6
GSM9418947,18.0,-0.051307772584021936,-0.14173252449434956,0.5415338503588799,-0.022859499081100916,18.57958349249436,46.8
GSM9418948,18.0,-0.2032934603994153,-0.19599949542393616,0.47291282466629864,-0.24783987661471196,17.571119374312183,35.0
GSM9418949,18.0,-0.394462067327886,-0.5237050169622722,0.879775315094788,-0.16821263443691006,19.66626320640679,34.8
GSM9418950,18.0,-0.1916952548669435,-0.37676784656591006,0.2943179073498805,-0.11202152922918715,18.509297972730295,37.0
GSM9418951,18.0,-0.39231972428724354,-0.5336621510669192,0.954369890904391,-0.2728532256627598,18.195388326437367,29.8
GSM9418952,18.0,-0.28314279476764725,-0.6248369581484697,0.363392884716498,-0.3077938868671233,18.63626493520727,27.4
GSM9418953,18.0,0.19451737446834122,0.11035943343814626,0.1208297237246015,0.19960069819125595,19.025113457058485,56.8
GSM9418954,18.0,-0.2771981581929356,-0.3644488912969949,0.6624665705742467,-0.24731534684004544,19.2802295612686,34.2
GSM9418955,27.0,-0.269615860952185,-0.6122871164483551,0.29605478689255105,-0.08869044810098142,26.78191802411901,42.6
GSM9418956,27.0,0.6004545410149278,0.10955867792591824,0.1864957282728882,0.6526449474295895,28.280540994864225,73.6
GSM9418957,27.0,-0.2641125969891989,-0.4248285245939017,0.5262464868328267,-0.1964931196641711,24.497483329490358,41.8
GSM9418958,27.0,0.818905618182402,0.47012642478654787,-0.09682486699457495,0.8626045936500248,27.17132228460249,73.4
GSM9418959,27.0,-0.2933630285202768,-0.5994982294050932,0.7744177431770584,-0.12727106323684045,25.90523693217134,43.2
GSM9418960,27.0,-0.00023250635444486023,-0.294626714880215,0.33049028328064545,0.07299550641071315,25.57919245001508,54.0
GSM9418961,27.0,-0.06894605062723808,-0.4091811679646871,0.3958529934189238,0.005806512566532346,25.337271720311932,50.4
GSM9418962,27.0,-0.27192987870206237,-0.5808123191757403,1.0028567476095531,-0.2467559373691831,23.713467052214547,39.6
GSM9418963,27.0,0.39286405132171776,0.22960639235946395,-0.023700443221060786,0.31896959660537727,24.009093737248577,66.8
GSM9418964,27.0,0.3475814395213125,0.3402870390682181,-0.4888662186067034,0.1900481417317753,24.443706406283866,58.6
GSM9418965,9.0,0.3517560917131972,0.5036434142000117,-0.07105244297845731,0.2372418634266775,11.141803031761137,57.6
GSM9418966,9.0,-0.024943421104320372,-0.045632816061928205,0.17341790077650912,-0.3194007863221674,11.11729503120706,34.8
GSM9418967,9.0,-0.26242126041853364,-0.05084691075089787,0.005288522422504309,-0.3016564302650583,7.711121820315167,25.4
GSM9418968,9.0,-0.16885292492016418,-0.08938555265602775,-0.4003885003003555,-0.18719213168357107,9.79624013022979,24.2
GSM9418969,9.0,0.06503829115982752,0.036721374860684566,0.11584808284281907,-0.05631113232670419,10.654464638156156,44.6
GSM9418970,9.0,-0.2803794529629313,-0.06288059975026343,-0.0036626236579435506,-0.2938686010199662,8.320334648407412,23.4
GSM9418971,9.0,-0.372880424731778,-0.19989723555030692,-0.05076260401127978,-0.23876319101636864,7.790125225022569,20.6
GSM9418972,9.0,-0.37456509411157507,-0.11277701068277107,-0.021794722489207077,-0.35545497974092877,10.208419858435862,20.4
GSM9418973,9.0,-0.39867418227998724,-0.273122931515132,0.3207647736257478,-0.3687021539029691,7.278026283616782,21.2
GSM9418974,9.0,-0.1741143672734911,-0.014884547854078932,0.04381098677215317,-0.23755712807653526,8.611844672134639,32.4
GSM9418975,9.0,-0.1765318362918448,-0.017750266949520317,-0.46926141866447274,-0.2562398108266172,8.98489195148055,22.6
GSM9418976,9.0,-0.052490535923668674,0.06779112012536709,-0.24530508807188708,-0.16563745187857287,9.801482416876077,33.6
GSM9418977,24.0,0.20143022642951777,0.2964073560352208,-0.669379558921677,0.29193592604566077,23.18068645592774,56.0
GSM9418978,24.0,0.45466438979408613,0.36642932771366254,-0.3974760422639603,0.46482206133104975,22.31546281666417,62.2
GSM9418979,24.0,0.08344913389345378,0.06579189930146236,-0.09218847396126899,0.1239480205171564,21.112148273086373,49.8
GSM9418980,24.0,0.14045629261653966,0.24035704606754443,-0.14298583560388925,0.22570930799688418,23.6791999541713,58.6
GSM9418981,24.0,0.20939992287595763,0.34177801737481517,-0.4025758360251606,0.22345749376839263,21.683259777830546,55.4
GSM9418982,24.0,0.6306364890608485,0.46838192259353584,-0.21471537533353557,0.5357836941377933,24.551293034819032,68.8
GSM9418983,24.0,0.35351899105133655,0.26398008550767876,0.16097589745592775,0.2725987395079928,23.09731158347865,68.4
GSM9418984,24.0,0.018264905057403465,0.15968569517703216,-0.19450958868644933,0.13937511598301633,21.616844758164294,50.8
GSM9418985,24.0,0.680272283765187,0.6289270861808727,-0.5077633399311571,0.58996330462321,22.635542954789884,64.4
GSM9418986,24.0,0.3625264701058306,0.3996011344421273,-0.09297485039155728,0.3410598638584055,22.37272720857196,65.0
GSM9418987,24.0,0.2205423738974532,-0.04009825274639594,-0.10686094118507757,0.2064940216207657,24.011258372844406,55.0
GSM9418988,24.0,0.2290727806219182,0.3966728233943133,-0.1415466821000723,0.17327310823220385,22.085815766572036,59.2
GSM9418989,21.0,-0.015798125741832217,-0.05090569573992711,-0.0033226718513969383,-0.026983445985534857,21.01827376911586,46.8
GSM9418990,21.0,0.18795050949382883,0.083035168726763,-0.0893437831624302,0.24945569166660747,23.274215617974416,57.8
GSM9418991,21.0,0.5108753523959669,0.29219793340549,-0.037007695616064464,0.3238914785308828,20.781454235530088,63.8
GSM9418992,21.0,0.04056220419056375,0.1246531989502421,0.02648332477484076,0.16467461383365264,21.06422675523883,55.2
GSM9418993,21.0,-0.06408570470932863,-0.05155060461757219,0.2263508005406759,-0.1118609129265395,20.87320131930538,45.8
GSM9418994,21.0,0.3015817107836047,0.1810637076187301,0.3122590268742627,0.3482011443361372,22.96810101454823,68.6
GSM9418995,21.0,0.4348123171575183,0.6194973021254335,-0.20876098166342896,0.7191747230787617,23.89965611874398,68.6
GSM9418996,21.0,0.09111725032438918,0.0827647204234431,-0.2671183246130761,0.03698579164284139,21.392868297631537,47.8
GSM9418997,21.0,0.17943192702241445,0.21840069138428694,0.08509988339557907,0.13762793823496838,20.38345441769947,57.2
GSM9418998,21.0,0.2664082261427567,0.19679293366285153,-0.10862894114672324,0.28735044266168863,20.43750888752445,57.0
GSM9418999,21.0,0.2737216849590947,0.42345868108828816,-0.24806067677830532,0.2327607155121143,20.55521878367732,57.6
GSM9419000,21.0,0.4343052429845652,0.485422113148659,-0.02990266334017568,0.5139429709034626,21.369591080550972,67.4
GSM9419001,6.0,-0.2224443428957361,0.06312207977571102,0.07422676221405995,-0.29236147455844,6.862634668008106,29.0
GSM9419002,6.0,-0.060917381797464476,0.18024024414229003,-0.46732076063295874,-0.141877876120507,7.571434482113673,32.6
GSM9419003,6.0,-0.2591524326312325,-0.09487081267765844,-0.5636416573756577,-0.29109594369939634,6.214163302720639,13.2
GSM9419004,6.0,-0.3336958483978766,-0.18169762678332832,-0.7044743575333965,-0.32423622387662937,7.0568051101211235,9.8
GSM9419005,6.0,-0.03835334709628532,-0.04501335333076474,-0.5191408424527344,-0.2342446769865728,6.75877952233019,23.6
GSM9419006,6.0,-0.053685309805503505,0.09640554795623238,-0.7486861347886573,-0.053715323972465416,6.485240045437946,29.4
GSM9419007,6.0,0.19032317567340296,0.2602538583314403,-1.2831199958390689,0.15014411884880247,6.239172047455694,38.8
GSM9419008,6.0,-0.23546273824601952,0.00991813934551136,-0.3975911527466789,-0.2796144652756151,7.096002501160157,20.8
GSM9419009,6.0,-0.31950040868341634,-0.09213002930406279,0.05620290000284398,-0.4028293870332702,6.205869611029527,18.8
GSM9419010,6.0,-0.13260483280266575,0.2102102860689038,-0.29865089844801423,-0.21632133257123307,3.8181641264900286,29.4
GSM9419011,6.0,0.00011898714004829898,0.19146496644457933,-0.510515229153298,-0.1432214535564951,7.015351030396399,33.2
GSM9419012,6.0,-0.18499836412251994,-0.06465948901667432,-0.5035325915428273,-0.1754427395366439,6.7681105131871195,21.0
GSM9419013,12.0,-0.25084806424903233,-0.28623958573835395,-0.09111546743962899,-0.2341886564247156,11.994229268531278,25.4
GSM9419014,12.0,-0.06097092890675314,0.03626348242758715,-0.18016684511374717,-0.25785397037830127,12.41696130837032,31.4
GSM9419015,12.0,-0.13711062935343377,0.015254236301066206,0.1223022291141151,-0.08160196948251286,11.914682649376946,41.6
GSM9419016,12.0,-0.04889663186625696,0.15540514464309876,-0.2826087701214754,-0.10314978507001192,12.106037084515963,39.2
GSM9419017,12.0,-0.1665675956366903,0.07238443380397559,0.3129695930447092,-0.02113489890670331,13.128965107050735,47.4
GSM9419018,12.0,-0.14795349717340978,0.10231896764152769,0.25809765995206496,-0.1258118464733784,14.37262892975138,45.4
GSM9419019,12.0,-0.26640858379381127,0.025973621923031067,0.001840905306772454,-0.18282197102415437,11.235903352485671,33.0
GSM9419020,12.0,-0.43459212932209107,-0.14693305627364836,-0.15365909616554715,-0.24775235053733557,12.016289576422214,20.2
